"subject" "activity" "tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyAccMag.mean.." "tGravityAccMag.mean.." "tBodyAccJerkMag.mean.." "tBodyGyroMag.mean.." "tBodyGyroJerkMag.mean.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAcc.meanFreq...X" "fBodyAcc.meanFreq...Y" "fBodyAcc.meanFreq...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyAccJerk.meanFreq...X" "fBodyAccJerk.meanFreq...Y" "fBodyAccJerk.meanFreq...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyGyro.meanFreq...X" "fBodyGyro.meanFreq...Y" "fBodyGyro.meanFreq...Z" "fBodyAccMag.mean.." "fBodyAccMag.meanFreq.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyAccJerkMag.meanFreq.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroMag.meanFreq.." "fBodyBodyGyroJerkMag.mean.." "fBodyBodyGyroJerkMag.meanFreq.."
"1" 20 "LAYING" 0.268210689679487 -0.0154394352991026 -0.103432062417949 0.590974958467949 0.00243648291666667 0.107789718651859 0.0750346921474359 -0.00274400097455128 -0.00251495485183974 -0.0224726834409615 -0.0789627194310256 0.0900253976657692 -0.0945547052108333 -0.0402012429820513 -0.0525724570615385 -0.452429326099846 -0.452429326099846 -0.564555998864103 -0.435122258175641 -0.624627827903846 -0.57063792171218 -0.324959680379103 -0.67195587225 -0.273541700883974 0.040394045223718 0.0964331545981603 -0.624523279069231 -0.466996133878205 -0.730766642435897 -0.140843708823077 -0.270189613514551 -0.171111060928654 -0.579382474189103 -0.526303994216667 -0.431155163544231 -0.129845704680769 -0.160848125435897 -0.0451471448155128 -0.505493351425641 0.0738546529198077 -0.538159936420513 0.116672886235897 -0.547332691298077 -0.00263009196333333 -0.659341951769231 0.0947926593894872
"2" 24 "LAYING" 0.276767046391076 -0.0176822460103885 -0.107914503687664 0.69498126808399 0.0729509702152231 0.0623227714146982 0.0784735003467192 0.00396900308574016 -0.00700960558805774 -0.0212578096847769 -0.0782440202677165 0.0841740375981627 -0.0998294248142257 -0.0390749421383202 -0.0552987683401575 -0.620032665162467 -0.620032665162467 -0.713667423769029 -0.682447212750656 -0.791646550787402 -0.707613779580052 -0.611509042586877 -0.65585899482231 -0.263352298517585 -0.0176079240963255 0.0812580797481102 -0.752245372493438 -0.703641614506562 -0.719655747391076 -0.0570423475325459 -0.23113163252252 -0.13977119240315 -0.722607377748032 -0.753710479580053 -0.70948857687664 -0.0501078590267979 -0.0975347609866142 -0.0556407394121785 -0.650121872273806 0.0236300571840945 -0.696845583388451 0.198422013108136 -0.754131617480315 0.0194486014291864 -0.795019165380577 0.161739608926982
"3" 27 "LAYING" 0.277798919328859 -0.0169386590334393 -0.112273368370134 0.585139591107383 0.0234793061308725 0.120613102375168 0.076859186338255 0.0051839851588557 -0.00554795896677852 -0.0683332171546644 -0.0496441313538255 0.116262252263758 -0.0873862322442852 -0.0464751059848658 -0.0600793214 -0.535726883050671 -0.535726883050671 -0.626287365461409 -0.622646577775503 -0.778275050167785 -0.600641532119463 -0.553874359468121 -0.646548247644295 -0.216131719939933 0.0858186568151678 0.128265826486913 -0.641991780991611 -0.618436710858725 -0.711004343278523 -0.0750278092104698 -0.148034757114094 -0.108827197161409 -0.711546673275168 -0.745557413412416 -0.630494529231544 -0.102116029167047 -0.0189862452485906 -0.0197633805593792 -0.585787631892617 0.176607223706242 -0.609647345982886 0.214336221197315 -0.735008737516779 0.0282875910536577 -0.796725772701342 0.183050823624698
"4" 28 "LAYING" 0.277532554764398 -0.0191721442063089 -0.109710873104188 0.62376789513089 -0.14757775521466 -0.0469931021049738 0.0807263062382199 0.0138224436546073 0.000824208324801046 -0.064496354556466 -0.0471474023101021 0.100840281329581 -0.0881213551172775 -0.0447972595862042 -0.0607680707408115 -0.610030902501309 -0.610030902501309 -0.689429387759162 -0.648538641430367 -0.78929494326178 -0.654156519193717 -0.584932500113874 -0.715134474431937 -0.217894722988743 -0.0652270030997382 0.0189878861753927 -0.686723799059424 -0.670718095926963 -0.779061720358639 -0.034209736104712 -0.277563092237149 -0.126061027159817 -0.674356656020942 -0.747067907931937 -0.673513886890838 -0.151644339683717 -0.270613215077225 -0.0896917400047906 -0.628763247405236 0.0179948502780366 -0.675428720467801 0.173610396659424 -0.73790809206911 -0.122999827523272 -0.806882151753927 -0.00200923842099476
"5" 29 "LAYING" 0.279111521944767 -0.018471953048314 -0.108675612269477 0.683067625610465 0.115489757911628 0.208215370043721 0.0788382324713372 0.00900161248883721 -0.00355290542467733 -0.0101831910869331 -0.0882883296441861 0.0881626266546221 -0.100707751809855 -0.0464322029527616 -0.052785999031686 -0.553585593347965 -0.553585593347965 -0.664538060484884 -0.602228993700349 -0.802293906366279 -0.579901000186134 -0.587686308146221 -0.680547675465116 -0.165350787567733 0.128076957523023 0.0886270605992151 -0.629875853152035 -0.641289075786337 -0.768433928313954 0.0107764076990698 -0.0815611305061628 -0.00952646181569767 -0.685747413486628 -0.735972301656977 -0.689221357718023 0.00201044246625 -0.253940049719767 0.0203516079320058 -0.589294014734302 0.162765300930698 -0.609879937469099 0.227450813250137 -0.722018434984302 -0.0446469221483721 -0.840464164156977 0.212434137252471
"6" 30 "LAYING" 0.276305836721932 -0.0175856077340209 -0.10589355727859 0.696858200678851 0.0512698188974987 0.184343178348037 0.0734799270148825 0.00730438257971279 -0.000653871890373369 -0.0354229280326632 -0.0717482452402089 0.0834544586693995 -0.0926769005274151 -0.0412903779669452 -0.0493556177875196 -0.538131194183003 -0.538131194183003 -0.697050126998956 -0.510032754098198 -0.785870931331593 -0.635650125322193 -0.55849001001906 -0.634958546900783 -0.302775397984856 -0.0844208556775196 -0.0415480598651175 -0.685307771157441 -0.671673670524282 -0.755432212793734 -0.131649976206266 -0.294148321077076 -0.168604693962381 -0.667418236692689 -0.629910665959817 -0.615699347830287 -0.231709876750131 -0.361122796402089 -0.201705723987467 -0.600372067046214 -0.0301197123824804 -0.656339723754047 0.0817046208143603 -0.669600510563003 -0.205094596687206 -0.811292332428198 0.0433050556386684
"7" 12 "SITTING" 0.275639357761194 -0.0184861388459702 -0.107917262447761 0.629964778955224 0.112652596558955 -0.0494520137037313 0.0572366455208955 0.010632586489403 0.0155338481445373 -0.0702784362985075 -0.0422418424895522 0.089311570049403 -0.0726924262059701 -0.0457374795179104 -0.0515110922703731 -0.485419876919403 -0.485419876919403 -0.553813266144776 -0.585957269414925 -0.735015701865672 -0.498119157841045 -0.392694131024627 -0.75610207 -0.188475319269179 0.102421127053731 0.0531374202022388 -0.51464202580597 -0.471744804389552 -0.799284140671642 -0.105604273753731 -0.232084104223881 -0.101473479845821 -0.585669505506716 -0.708184516268657 -0.64488048111194 -0.049418997688806 -0.107386749104701 -0.0124011894201493 -0.47792395599403 0.120904002453955 -0.461153229439552 0.0954383111791045 -0.669095112974627 -0.00238888715097015 -0.749207546626866 0.0153660009272388
"8" 13 "SITTING" 0.275895876198777 -0.0176504796070948 -0.109135285550765 0.709996516908257 -0.0420858101162079 0.0443010536786239 0.0794393034550306 0.00387961953328135 -0.0123485923641621 -0.0562470618980061 -0.0616613787494801 0.098866059686422 -0.0881182379434251 -0.0440836605146789 -0.0582718748712538 -0.539871637249541 -0.539871637249541 -0.625466938809174 -0.581215403184709 -0.712745036012232 -0.638817912651682 -0.493467193137125 -0.629736258731804 -0.222056646711315 -0.0348311463927523 0.0487260271941896 -0.66008217407156 -0.603340489937615 -0.710831730361468 -0.0241961823456881 -0.238328546685321 -0.120605488176024 -0.65864242140581 -0.647152817899388 -0.620471226529052 -0.112645469406422 -0.0806130190608563 -0.00505036969339144 -0.589928108599083 0.0849475684648318 -0.607295296423853 0.182861249947095 -0.652225306544343 0.0625891805875841 -0.712054366504281 0.157417463421743
"9" 17 "SITTING" 0.27344147274375 -0.0180888559772812 -0.109111919458969 0.668613344125 0.01046225616875 0.0223722077328125 0.08251105141625 0.00885228208375 0.003826532875875 -0.01284166884445 -0.0833880991568063 0.0745157818036563 -0.109084058157187 -0.0390296211270938 -0.0504091215649062 -0.506906000020438 -0.506906000020438 -0.652073857695312 -0.630693906651719 -0.78281769309375 -0.600723904619781 -0.545947390043031 -0.67938986181875 -0.256068433214375 -0.00441841828840625 -0.015670789182375 -0.675134742364062 -0.65093749483125 -0.7744940495625 -0.130540964169687 -0.199136237109531 -0.201957867699437 -0.690246842451563 -0.7428462089375 -0.68792205428125 -0.0794198509303437 -0.109006734705156 -0.0471110402193125 -0.595908048050938 0.0192196091749063 -0.653531400748438 0.188333227357 -0.73703546740625 0.0134249214915938 -0.8045235876875 0.217874558042187
"10" 18 "SITTING" 0.27795824 -0.01729741093 -0.110021546 0.962581161666667 -0.180018835666667 0.0783976787 0.0756560724 0.01212352927 0.000426343527333334 -0.0259236282933333 -0.0744458279666667 0.0854533145 -0.0981970214 -0.0397930495333333 -0.053319608 -0.963685834333333 -0.963685834333333 -0.984336614 -0.951887812 -0.986611885 -0.990052909 -0.949811015333333 -0.972738081666667 -0.0377801750666667 -0.0957290482 -0.109919200726667 -0.989649728 -0.969070922 -0.986778406666667 0.147190851333333 -0.195180123733333 -0.0223105555233333 -0.953668505666667 -0.982765614333333 -0.966466455666667 -0.307039569766667 -0.375759986466667 -0.229835580015667 -0.97137329 -0.04220509081 -0.982538887333333 0.364297106066667 -0.964628023666667 -0.314646109333333 -0.987332531 -0.00802004774666666
